id,qno,file_base,pass_pct,tests_passed,tests_total,source_csv,original_filename,question_folder
b25me009_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25cs051_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ds001_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25mt023-q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me023 q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25cs010_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ds019_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25me050_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me016_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ec001_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me021_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ec032_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me039_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ee049_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ee056_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me005_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ee017_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25mt010_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ee036_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me029_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ee059_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ec035_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25mm015_q1,1,3,50.0,3.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,3,q1
b25me058_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25mt029_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25mt011.q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ec042_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ec025_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
s25ma011_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ds014_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ee020_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ds037_q1.py,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25mt024_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
